ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
RMID,32,32,22542577,848.38,0.3017515735873076,19.125,11787170,23574341,0.01,11787170,23574341,56.8,57.9,1.1000000000000014,random,2026-02-12,16:43:53,RMID-32/RMID-32-32-22542577-random-20260212_164346.log,
RMID,32,64,22722108,857.68,0.5969592388769704,19.488,11659360,23318720,0.01,11659360,23318720,56.2,57.9,1.6999999999999957,random,2026-02-12,16:44:20,RMID-32/RMID-32-64-22722108-random-20260212_164346.log,
RMID,32,128,22656214,859.54,1.1913349000628244,19.474,11634129,23268259,0.01,11634129,23268259,56.8,57.9,1.1000000000000014,random,2026-02-12,16:44:48,RMID-32/RMID-32-128-22656214-random-20260212_164346.log,
RMID,32,256,20862236,929.62,2.203050708891805,19.394,10757083,21514167,0.01,10757083,21514167,57.3,58.4,1.1000000000000014,random,2026-02-12,16:45:15,RMID-32/RMID-32-256-20862236-random-20260212_164346.log,
RMID,32,512,17727196,1099.63,3.724889280939952,19.493,9093967,18187935,0.01,9093967,18187935,56.8,57.9,1.1000000000000014,random,2026-02-12,16:45:43,RMID-32/RMID-32-512-17727196-random-20260212_164346.log,
RMID,32,1024,13731548,1445.83,5.665949662131786,19.853,6916442,13832884,0.01,6916442,13832884,57.3,57.3,0.0,random,2026-02-12,16:46:10,RMID-32/RMID-32-1024-13731548-random-20260212_164346.log,
RMID,32,2048,9267539,2107.97,7.772406628177821,19.536,4743900,9487801,0.02,4743900,9487801,57.3,57.3,0.0,random,2026-02-12,16:46:38,RMID-32/RMID-32-2048-9267539-random-20260212_164346.log,
RMID,32,4096,5728197,3444.34,9.513578798840996,19.730,2903313,5806627,0.03,2903313,5806627,57.3,57.3,0.0,random,2026-02-12,16:47:06,RMID-32/RMID-32-4096-5728197-random-20260212_164346.log,
RMID,32,8192,3324760,6061.73,10.811435019375656,20.154,1649694,3299388,0.06,1649694,3299388,56.8,57.9,1.1000000000000014,random,2026-02-12,16:47:33,RMID-32/RMID-32-8192-3324760-random-20260212_164346.log,
RMID,32,16384,1777891,11178.64,11.725218810159376,19.874,894563,1789126,0.11,894563,1789126,56.2,57.9,1.6999999999999957,random,2026-02-12,16:48:02,RMID-32/RMID-32-16384-1777891-random-20260212_164346.log,
RMID,32,32768,924946,21727.17,12.06526206588341,20.096,460253,920506,0.22,460253,920506,57.3,56.2,-1.0999999999999943,random,2026-02-12,16:48:29,RMID-32/RMID-32-32768-924946-random-20260212_164346.log,
RMID,32,65536,470293,42721.14,12.272331684032777,20.091,234076,468152,0.43,234076,468152,56.8,58.4,1.6000000000000014,random,2026-02-12,16:48:58,RMID-32/RMID-32-65536-470293-random-20260212_164346.log,
RMID,32,131072,234916,85767.7,12.225767975589878,20.148,116594,233188,0.86,116594,233188,57.3,57.9,0.6000000000000014,random,2026-02-12,16:49:26,RMID-32/RMID-32-131072-234916-random-20260212_164346.log,
RMID,32,262144,117656,169604.2,12.36497681071577,19.955,58960,117921,1.70,58960,117921,57.9,57.9,0.0,random,2026-02-12,16:49:54,RMID-32/RMID-32-262144-117656-random-20260212_164346.log,
RMID,32,524288,58793,340424.03,12.320822357928138,20.015,29375,58750,3.40,29375,58750,56.8,58.4,1.6000000000000014,random,2026-02-12,16:50:22,RMID-32/RMID-32-524288-58793-random-20260212_164346.log,
RMID,32,1048576,29355,681146.08,12.315431661883748,19.995,14681,29362,6.81,14681,29362,57.3,58.4,1.1000000000000014,random,2026-02-12,16:50:50,RMID-32/RMID-32-1048576-29355-random-20260212_164346.log,
RMID,32,2097152,14577,1371472.82,12.232991974277697,19.992,7291,14582,13.71,10000,14582,57.3,58.4,1.1000000000000014,random,2026-02-12,16:51:18,RMID-32/RMID-32-2097152-14577-random-20260212_164346.log,
