id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,16.350210813257963,16.360655615055123,idle,ALG,0B,0k,none
2,18.80412483548452,18.805558435731182,idle,ALG,0B,0k,none
3,18.80781123611881,18.808323236206903,idle,ALG,0B,0k,none
4,24.810807469009283,24.811421869115,idle,ALG,0B,0k,none
5,24.831799472621217,24.832516272744552,idle,ALG,0B,0k,none
6,24.84429227477076,24.84521387492933,idle,ALG,0B,0k,none
7,24.90378668500752,24.91187628639944,idle,ALG,0B,0k,none
8,24.91371948671658,25.0087467030672,idle,ALG,0B,0k,none
9,25.018167504688165,25.020932305163885,idle,ALG,0B,0k,none
10,25.593246003637603,25.595908404095702,idle,ALG,0B,0k,none
11,25.59887800460666,25.696874821468235,idle,ALG,0B,0k,none
12,25.70639802310682,25.70916282358254,idle,ALG,0B,0k,none
13,26.360426935640664,26.370871737437824,idle,ALG,0B,0k,none
14,26.38162373928784,26.48310215674847,idle,ALG,0B,0k,none
15,26.58458057420909,41.38937032155807,warmup,ALG,0B,0k,14.804s
21,41.4002247234257,41.402682323848566,idle,ALG,0B,0k,none
22,43.733409124879216,43.73576432528446,idle,ALG,0B,0k,none
23,46.40267038415895,46.40338718428229,idle,ALG,0B,0k,none
24,47.21541932400256,47.21634092416113,idle,ALG,0B,0k,none
25,48.40346432842054,48.4128851300415,idle,ALG,0B,0k,none
26,50.41275747414452,69.53729196475952,benchmark,RMID,32,22542577,19.125s
27,71.53706190884492,71.54044110942634,idle,ALG,0B,0k,none
28,73.54041585354697,73.54103025365269,idle,ALG,0B,0k,none
29,75.54100499777333,75.55022099935906,idle,ALG,0B,0k,none
30,77.54988854342683,97.03814789662523,benchmark,RMID,64,22722108,19.488s
31,99.03791784071063,99.0409898412392,idle,ALG,0B,0k,none
32,101.04106698537746,101.04157898546556,idle,ALG,0B,0k,none
33,103.0416561296038,103.05056493113668,idle,ALG,0B,0k,none
34,105.05033487522206,124.52415582593616,benchmark,RMID,128,22656214,19.474s
35,126.52392577002156,126.52720257058536,idle,ALG,0B,0k,none
36,128.52727971472362,128.5277917148117,idle,ALG,0B,0k,none
37,130.52776645893235,130.5369824605181,idle,ALG,0B,0k,none
38,132.53665000458585,151.93049654153936,benchmark,RMID,256,20862236,19.394s
39,153.93026648562474,153.93354328618855,idle,ALG,0B,0k,none
40,155.9335180303092,155.9341324304149,idle,ALG,0B,0k,none
41,157.93410717453554,157.94332317612128,idle,ALG,0B,0k,none
42,159.94309312020667,179.4363700742684,benchmark,RMID,512,17727196,19.493s
43,181.4361400183538,181.4394168189176,idle,ALG,0B,0k,none
44,183.43939156303824,183.4399035631264,idle,ALG,0B,0k,none
45,185.43987830724697,185.4489919088151,idle,ALG,0B,0k,none
46,187.44865945288285,207.3020772689113,benchmark,RMID,1024,13731548,19.853s
47,209.3018472129968,209.30522641357817,idle,ALG,0B,0k,none
48,211.3052011576988,211.3057131577869,idle,ALG,0B,0k,none
49,213.3056879019076,213.31480150347565,idle,ALG,0B,0k,none
50,215.31457144756104,234.85013960889955,benchmark,RMID,2048,9267539,19.536s
51,235.66647254935967,235.6670869494655,idle,ALG,0B,0k,none
52,236.8499095529849,236.85328875356635,idle,ALG,0B,0k,none
53,238.85326349768687,238.8538778977927,idle,ALG,0B,0k,none
54,240.8538526419133,240.86296624348145,idle,ALG,0B,0k,none
55,242.8627361875668,262.5924547823113,benchmark,RMID,4096,5728197,19.730s
56,264.5922247263967,264.5955015269605,idle,ALG,0B,0k,none
57,266.5954762710812,266.59609067118686,idle,ALG,0B,0k,none
58,268.59606541530746,268.60538381691083,idle,ALG,0B,0k,none
59,270.6050513609786,290.7587060286666,benchmark,RMID,8192,3324760,20.154s
60,292.758475972752,292.7617527733158,idle,ALG,0B,0k,none
