id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,34.56860771477917,34.67223653310989,idle,ALG,0B,0k,none
2,34.681350134721974,34.6846269353016,idle,ALG,0B,0k,none
3,35.47945587589747,35.57806709334064,idle,ALG,0B,0k,none
4,35.58718069495272,35.59035509551424,idle,ALG,0B,0k,none
5,36.429625643971306,36.44088964596377,idle,ALG,0B,0k,none
6,36.45082244772077,53.184419007696725,warmup,ALG,0B,0k,16.734s
7,58.47204874301609,58.48157194470063,idle,ALG,0B,0k,none
8,58.63691277217859,58.72077838701343,idle,ALG,0B,0k,none
9,60.4808298983458,79.85419652526595,benchmark,SHA256ID,32,4397827,19.373s
10,81.85376167896545,81.85744807961754,idle,ALG,0B,0k,none
11,83.55145157926678,83.63470279399294,idle,ALG,0B,0k,none
12,85.8577047872158,85.86814958906335,idle,ALG,0B,0k,none
13,86.31901686881646,86.4028824836513,idle,ALG,0B,0k,none
14,87.86638354252739,108.08997751984272,benchmark,SHA256ID,64,4531591,20.224s
15,108.46517118621009,108.54862720097246,idle,ALG,0B,0k,none
16,110.08944027352412,110.0931266741762,idle,ALG,0B,0k,none
17,111.23335087586842,111.31680689063082,idle,ALG,0B,0k,none
18,114.09338338177446,114.11498978559638,idle,ALG,0B,0k,none
19,116.10206213708604,134.4762093872561,benchmark,SHA256ID,128,4076923,18.374s
20,136.14707048281173,136.23062889759225,idle,ALG,0B,0k,none
21,136.4757745409556,136.47956334162578,idle,ALG,0B,0k,none
22,138.9156597725425,138.99880858725058,idle,ALG,0B,0k,none
23,140.47982004922403,140.48944565092668,idle,ALG,0B,0k,none
24,141.6833274621103,141.76709067692704,idle,ALG,0B,0k,none
25,142.48860120455373,161.14455330457173,benchmark,SHA256ID,256,4129833,18.656s
26,163.07602244622583,163.07970884687794,idle,ALG,0B,0k,none
27,163.82907217943148,163.91273299423008,idle,ALG,0B,0k,none
28,169.08864430978778,188.91164941624368,benchmark,SHA256ID,512,4184363,19.823s
29,190.91111216992508,190.91490097059528,idle,ALG,0B,0k,none
30,191.51107387605123,191.59493949088605,idle,ALG,0B,0k,none
31,194.2792535657096,194.3630167805263,idle,ALG,0B,0k,none
32,194.9151576781935,194.92457847985995,idle,ALG,0B,0k,none
33,196.2088795070377,196.21102990741804,idle,ALG,0B,0k,none
34,196.9238364335051,217.4403968626428,benchmark,SHA256ID,1024,3982857,20.517s
35,219.19297317265287,219.27694118750583,idle,ALG,0B,0k,none
36,219.43996201634224,219.4436484169944,idle,ALG,0B,0k,none
37,221.9617672624199,222.04501847714604,idle,ALG,0B,0k,none
38,223.4438027245745,223.45486192653075,idle,ALG,0B,0k,none
39,225.45289107995853,244.0350127669168,benchmark,SHA256ID,2048,3292284,18.582s
40,244.1068975796324,244.19096799450344,idle,ALG,0B,0k,none
41,246.0345779206163,246.0382643212684,idle,ALG,0B,0k,none
42,246.87497486927265,246.9589428841256,idle,ALG,0B,0k,none
43,250.03852102886665,250.0498874308772,idle,ALG,0B,0k,none
44,252.04760938425068,271.0131167390253,benchmark,SHA256ID,4096,2697639,18.966s
45,271.7888992762521,271.87276489108694,idle,ALG,0B,0k,none
46,273.0125794927067,273.0175970935943,idle,ALG,0B,0k,none
47,277.0166250009752,277.02655780273216,idle,ALG,0B,0k,none
48,277.3258730556775,277.4092266704218,idle,ALG,0B,0k,none
49,279.0258157563773,298.6048016196691,benchmark,SHA256ID,8192,2007197,19.579s
50,299.47100337289,299.55486898772483,idle,ALG,0B,0k,none
51,300.6043667733686,300.6091795742199,idle,ALG,0B,0k,none
52,304.6084122816371,304.61834508339405,idle,ALG,0B,0k,none
53,305.0074651522248,305.0913307670597,idle,ALG,0B,0k,none
54,306.6178078370755,326.30011531864363,benchmark,SHA256ID,16384,1302219,19.682s
55,327.15372186963657,327.2369730843627,idle,ALG,0B,0k,none
