ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
RMID,8,32,25716526,744.46,0.3438734116003546,19.145,13432555,26865110,0.01,13432555,26865110,56.2,56.8,0.5999999999999943,random,2026-02-12,16:19:57,RMID-8/RMID-8-32-25716526-random-20260212_161950.log,
RMID,8,64,20927945,920.97,0.5559355896500429,19.274,10858116,21716233,0.01,10858116,21716233,56.2,56.2,0.0,random,2026-02-12,16:20:24,RMID-8/RMID-8-64-20927945-random-20260212_161950.log,
RMID,8,128,15700312,1246.47,0.8215199724020634,19.570,8022655,16045311,0.01,8022655,16045311,55.1,56.2,1.1000000000000014,random,2026-02-12,16:20:52,RMID-8/RMID-8-128-15700312-random-20260212_161950.log,
RMID,8,256,10441792,1891.21,1.0829045954706247,19.748,5287620,10575240,0.02,5287620,10575240,56.2,56.8,0.5999999999999943,random,2026-02-12,16:21:19,RMID-8/RMID-8-256-10441792-random-20260212_161950.log,
RMID,8,512,6290712,3165.36,1.2940076326231456,19.912,3159198,6318396,0.03,3159198,6318396,56.2,56.8,0.5999999999999943,random,2026-02-12,16:21:47,RMID-8/RMID-8-512-6290712-random-20260212_161950.log,
RMID,8,1024,3459854,5680.75,1.4420631078642785,19.655,1760330,3520661,0.06,1760330,3520661,56.8,56.8,0.0,random,2026-02-12,16:22:15,RMID-8/RMID-8-1024-3459854-random-20260212_161950.log,
RMID,8,2048,1827462,10935.61,1.4982246074978898,19.984,914443,1828887,0.11,914443,1828887,56.8,57.9,1.1000000000000014,random,2026-02-12,16:22:43,RMID-8/RMID-8-2048-1827462-random-20260212_161950.log,
RMID,8,4096,935570,21399.42,1.5312564546141907,20.021,467302,934604,0.21,467302,934604,56.8,57.9,1.1000000000000014,random,2026-02-12,16:23:11,RMID-8/RMID-8-4096-935570-random-20260212_161950.log,
RMID,8,8192,474837,42220.08,1.552247177172568,20.048,236854,473708,0.42,236854,473708,56.8,57.9,1.1000000000000014,random,2026-02-12,16:23:39,RMID-8/RMID-8-8192-474837-random-20260212_161950.log,
RMID,8,16384,238309,83535.98,1.5690484507394298,19.907,119708,239417,0.84,119708,239417,56.2,57.9,1.6999999999999957,random,2026-02-12,16:24:07,RMID-8/RMID-8-16384-238309-random-20260212_161950.log,
RMID,8,32768,119559,167079.69,1.5689758581668423,19.976,59851,119703,1.67,59851,119703,56.8,57.9,1.1000000000000014,random,2026-02-12,16:24:35,RMID-8/RMID-8-32768-119559-random-20260212_161950.log,
RMID,8,65536,60634,329957.54,1.588955960818474,20.007,30306,60613,3.30,30306,60613,56.8,57.9,1.1000000000000014,random,2026-02-12,16:25:03,RMID-8/RMID-8-65536-60634-random-20260212_161950.log,
RMID,8,131072,29694,671812.68,1.5608160298492726,19.949,14885,29770,6.72,14885,29770,57.3,57.9,0.6000000000000014,random,2026-02-12,16:25:31,RMID-8/RMID-8-131072-29694-random-20260212_161950.log,
RMID,8,262144,15180,1341515.2,1.5632711429583506,20.364,7454,14908,13.42,10000,14908,57.3,57.9,0.6000000000000014,random,2026-02-12,16:25:59,RMID-8/RMID-8-262144-15180-random-20260212_161950.log,
RMID,8,524288,10000,2687198.55,1.5608463319541461,26.872,3721,7442,26.87,10000,10000,57.3,58.4,1.1000000000000014,random,2026-02-12,16:26:27,RMID-8/RMID-8-524288-10000-random-20260212_161950.log,
RMID,8,1048576,10000,5363810.38,1.5639270230876432,53.638,1864,3728,53.64,10000,10000,57.3,58.4,1.1000000000000014,random,2026-02-12,16:27:02,RMID-8/RMID-8-1048576-10000-random-20260212_161950.log,
RMID,8,2097152,10000,10631587.35,1.578053723087738,106.316,940,1881,106.32,10000,10000,58.4,59.0,0.6000000000000014,random,2026-02-12,16:28:04,RMID-8/RMID-8-2097152-10000-random-20260212_161950.log,
