id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,2.6181636800194195,2.62010928037613,idle,ALG,0B,0k,none
2,13.66507770538296,13.675932107373027,idle,ALG,0B,0k,none
3,17.011919918999773,17.013455919281387,idle,ALG,0B,0k,none
4,23.04553382521474,23.046557825402484,idle,ALG,0B,0k,none
5,23.079530631447785,23.08577703259301,idle,ALG,0B,0k,none
6,23.08762023293095,23.183261850466074,idle,ALG,0B,0k,none
7,23.67570354075133,23.686353142703847,idle,ALG,0B,0k,none
8,23.69720754469392,23.7985835632804,idle,ALG,0B,0k,none
9,23.89268918053392,24.0139308027626,idle,ALG,0B,0k,none
10,24.0210988040768,24.025911604959184,idle,ALG,0B,0k,none
11,24.030519605804024,24.03348920634848,idle,ALG,0B,0k,none
12,24.0469036088079,24.050487609465,idle,ALG,0B,0k,none
13,24.115204421330308,38.19182780216688,warmup,ALG,0B,0k,14.076s
15,38.268525416228776,38.70526149630086,idle,ALG,0B,0k,none
16,38.71611589829092,38.71857349874151,idle,ALG,0B,0k,none
17,40.02468573820676,40.124423356492855,idle,ALG,0B,0k,none
18,40.13394655823886,40.13660895872699,idle,ALG,0B,0k,none
19,45.71925318226027,45.72846918394995,idle,ALG,0B,0k,none
20,47.72823915059181,67.2300155260869,benchmark,RMID,32,15895471,19.502s
21,69.22978549272877,69.23316469334831,idle,ALG,0B,0k,none
22,73.2337286268198,73.24294462850948,idle,ALG,0B,0k,none
23,75.24271459515134,94.74080456997056,benchmark,RMID,64,15914443,19.498s
24,96.7406769366312,96.7438513372132,idle,ALG,0B,0k,none
25,100.74451767070344,100.75322167229926,idle,ALG,0B,0k,none
26,102.7530940389599,122.24985281353504,benchmark,RMID,128,15880325,19.497s
27,124.24972518019568,124.2528995807777,idle,ALG,0B,0k,none
28,128.25346351424918,128.26226991586375,idle,ALG,0B,0k,none
29,130.2621422825244,149.79945146453414,benchmark,RMID,256,15780711,19.537s
30,151.799221431176,151.802395831758,idle,ALG,0B,0k,none
31,155.80295976522947,155.81176616684405,idle,ALG,0B,0k,none
32,157.8116385335047,177.30163890684076,benchmark,RMID,512,15569654,19.490s
33,179.3015112735014,179.3046856740834,idle,ALG,0B,0k,none
34,183.30524960755488,183.31436320922572,idle,ALG,0B,0k,none
35,185.31413317586765,204.8113015505179,benchmark,RMID,1024,14178363,19.497s
36,206.8111739171785,206.81434831776053,idle,ALG,0B,0k,none
37,210.814912251232,210.82382105286536,idle,ALG,0B,0k,none
38,212.82348861948847,232.3913130070929,benchmark,RMID,2048,11870563,19.568s
39,234.3910829737348,234.3942573743168,idle,ALG,0B,0k,none
40,238.39482130778828,238.4037301094216,idle,ALG,0B,0k,none
41,240.40360247608223,259.99764126849294,benchmark,RMID,4096,8919452,19.594s
42,261.99751363515355,262.00068803573555,idle,ALG,0B,0k,none
43,266.00125196920703,266.0101607708404,idle,ALG,0B,0k,none
44,268.01003313750107,287.753166357247,benchmark,RMID,8192,5993748,19.743s
45,289.75293632388883,289.75611072447083,idle,ALG,0B,0k,none
46,293.75657225792355,293.7654810595569,idle,ALG,0B,0k,none
47,295.7653534262176,315.5345986507509,benchmark,RMID,16384,3603227,19.769s
48,317.5344710174116,317.5376454179936,idle,ALG,0B,0k,none
49,321.538209351465,321.5479373532486,idle,ALG,0B,0k,none
50,323.547912119928,343.4207861634609,benchmark,RMID,32768,2005129,19.873s
51,345.4206585301216,345.4240377307411,idle,ALG,0B,0k,none
52,349.42460166421256,349.43392006592103,idle,ALG,0B,0k,none
53,351.4339972326192,371.2590504673845,benchmark,RMID,65536,1058269,19.825s
54,373.2588204340264,373.2619948346084,idle,ALG,0B,0k,none
55,377.2625587680799,377.272491569901,idle,ALG,0B,0k,none
56,379.2724663365804,399.1929563888433,benchmark,RMID,131072,537369,19.920s
57,401.1927263554852,401.1962079561235,idle,ALG,0B,0k,none
58,405.19677188959497,405.20824069169765,idle,ALG,0B,0k,none
59,407.2082154583771,427.273396737168,benchmark,RMID,262144,275542,20.065s
60,429.2731667038098,429.2764435044106,idle,ALG,0B,0k,none
61,433.2770074378821,433.2907290403978,idle,ALG,0B,0k,none
62,435.2906014070585,455.260243468333,benchmark,RMID,524288,137864,19.970s
63,457.26011583499366,457.2634950356132,idle,ALG,0B,0k,none
64,461.2641613691034,461.2829005725391,idle,ALG,0B,0k,none
65,463.28267053918097,483.2839542062568,benchmark,RMID,1048576,68615,20.001s
66,485.2837241728986,485.2870009734994,idle,ALG,0B,0k,none
67,489.2875649069709,489.31613451220886,idle,ALG,0B,0k,none
68,491.3159044788507,511.4533801708962,benchmark,RMID,2097152,34020,20.137s
69,513.453150137538,513.4565293381577,idle,ALG,0B,0k,none
70,515.4565041048371,515.4598833054566,idle,ALG,0B,0k,none
