ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
RMID,16,32,29692092,624.63,0.4098426268350864,18.547,16009477,32018955,0.01,16009477,32018955,56.2,56.8,0.5999999999999943,random,2026-02-12,16:33:20,RMID-16/RMID-16-32-29692092-random-20260212_163313.log,
RMID,16,64,27656396,683.53,0.7490527116585959,18.904,14629935,29259871,0.01,14629935,29259871,56.2,56.8,0.5999999999999943,random,2026-02-12,16:33:47,RMID-16/RMID-16-64-27656396-random-20260212_163313.log,
RMID,16,128,23380327,814.19,1.2576916935850353,19.036,12282145,24564290,0.01,12282145,24564290,56.8,57.9,1.1000000000000014,random,2026-02-12,16:34:14,RMID-16/RMID-16-128-23380327-random-20260212_163313.log,
RMID,16,256,18291065,1054.03,1.9430186996575052,19.279,9487395,18974791,0.01,9487395,18974791,56.8,56.8,0.0,random,2026-02-12,16:34:41,RMID-16/RMID-16-256-18291065-random-20260212_163313.log,
RMID,16,512,12828654,1523.38,2.688757893631267,19.543,6564350,13128700,0.02,6564350,13128700,56.8,56.8,0.0,random,2026-02-12,16:35:08,RMID-16/RMID-16-512-12828654-random-20260212_163313.log,
RMID,16,1024,8172572,2406.51,3.404099712862194,19.667,4155395,8310790,0.02,4155395,8310790,56.2,57.3,1.0999999999999943,random,2026-02-12,16:35:36,RMID-16/RMID-16-1024-8172572-random-20260212_163313.log,
RMID,16,2048,4713290,4189.81,3.9104398528811566,19.748,2386743,4773486,0.04,2386743,4773486,56.8,57.3,0.5,random,2026-02-12,16:36:04,RMID-16/RMID-16-2048-4713290-random-20260212_163313.log,
RMID,16,4096,2540492,7809.58,4.195872249211865,19.840,1280478,2560957,0.08,1280478,2560957,56.2,57.3,1.0999999999999943,random,2026-02-12,16:36:31,RMID-16/RMID-16-4096-2540492-random-20260212_163313.log,
RMID,16,8192,1315644,15209.43,4.308905724935123,20.010,657486,1314973,0.15,657486,1314973,56.2,57.3,1.0999999999999943,random,2026-02-12,16:36:59,RMID-16/RMID-16-8192-1315644-random-20260212_163313.log,
RMID,16,16384,662518,30279.59,4.328724398183727,20.061,330255,660510,0.30,330255,660510,57.3,57.3,0.0,random,2026-02-12,16:37:27,RMID-16/RMID-16-16384-662518-random-20260212_163313.log,
RMID,16,32768,332716,59789.08,4.384479573861983,19.893,167254,334509,0.60,167254,334509,57.3,57.3,0.0,random,2026-02-12,16:37:55,RMID-16/RMID-16-32768-332716-random-20260212_163313.log,
RMID,16,65536,167325,119463.49,4.388688125551999,19.989,83707,167415,1.19,83707,167415,56.8,58.4,1.6000000000000014,random,2026-02-12,16:38:23,RMID-16/RMID-16-65536-167325-random-20260212_163313.log,
RMID,16,131072,83032,241046.75,4.350093913317645,20.015,41485,82971,2.41,41485,82971,56.8,57.3,0.5,random,2026-02-12,16:38:51,RMID-16/RMID-16-131072-83032-random-20260212_163313.log,
RMID,16,262144,41675,477284.82,4.393921432489724,19.891,20951,41903,4.77,20951,41903,57.3,58.4,1.1000000000000014,random,2026-02-12,16:39:19,RMID-16/RMID-16-262144-41675-random-20260212_163313.log,
RMID,16,524288,20958,973350.07,4.309142341768157,20.399,10273,20547,9.73,10273,20547,57.3,57.3,0.0,random,2026-02-12,16:39:47,RMID-16/RMID-16-524288-20958-random-20260212_163313.log,
RMID,16,1048576,10287,1918423.28,4.372657529468679,19.735,5212,10425,19.18,10000,10425,57.9,57.9,0.0,random,2026-02-12,16:40:16,RMID-16/RMID-16-1048576-10287-random-20260212_163313.log,
RMID,16,2097152,10000,3836430.58,4.373131651974268,38.364,2606,5213,38.36,10000,10000,57.3,58.4,1.1000000000000014,random,2026-02-12,16:40:43,RMID-16/RMID-16-2097152-10000-random-20260212_163313.log,
