ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
SHA256ID,32,32,4623732,4307.15,0.0594360540032272,19.915,2321720,4643441,0.04,2321720,4643441,57.3,56.8,-0.5,random,2026-02-12,17:38:32,SHA256ID-32/SHA256ID-32-32-4623732-random-20260212_173825.log,
SHA256ID,32,64,4483993,4417.78,0.1158953139359588,19.809,2263580,4527160,0.04,2263580,4527160,56.2,56.2,0.0,random,2026-02-12,17:39:00,SHA256ID-32/SHA256ID-32-64-4483993-random-20260212_173825.log,
SHA256ID,32,128,4567555,4507.79,0.22716231235261625,20.590,2218381,4436763,0.05,2218381,4436763,56.8,56.8,0.0,random,2026-02-12,17:39:28,SHA256ID-32/SHA256ID-32-128-4567555-random-20260212_173825.log,
SHA256ID,32,256,4423985,4678.63,0.4377349779743215,20.698,2137377,4274755,0.05,2137377,4274755,55.1,57.9,2.799999999999997,random,2026-02-12,17:39:57,SHA256ID-32/SHA256ID-32-256-4423985-random-20260212_173825.log,
SHA256ID,32,512,4240072,4784.08,0.8561729736960921,20.285,2090266,4180532,0.05,2090266,4180532,56.2,57.9,1.6999999999999957,random,2026-02-12,17:40:25,SHA256ID-32/SHA256ID-32-512-4240072-random-20260212_173825.log,
SHA256ID,32,1024,4000720,5189.47,1.5785812424004764,20.762,1926979,3853958,0.05,1926979,3853958,56.8,57.3,0.5,random,2026-02-12,17:40:54,SHA256ID-32/SHA256ID-32-1024-4000720-random-20260212_173825.log,
SHA256ID,32,2048,3404446,5730.46,2.859107296796418,19.509,1745060,3490121,0.06,1745060,3490121,56.8,57.9,1.1000000000000014,random,2026-02-12,17:41:22,SHA256ID-32/SHA256ID-32-2048-3404446-random-20260212_173825.log,
SHA256ID,32,4096,2779487,6963.36,4.705774223937869,19.355,1436088,2872176,0.07,1436088,2872176,56.8,57.9,1.1000000000000014,random,2026-02-12,17:41:50,SHA256ID-32/SHA256ID-32-4096-2779487-random-20260212_173825.log,
SHA256ID,32,8192,2011710,9618.65,6.8134301591179645,19.350,1039646,2079293,0.10,1039646,2079293,56.8,57.3,0.5,random,2026-02-12,17:42:17,SHA256ID-32/SHA256ID-32-8192-2011710-random-20260212_173825.log,
SHA256ID,32,16384,1309985,15154.73,8.648916872817926,19.852,659859,1319719,0.15,659859,1319719,57.3,57.3,0.0,random,2026-02-12,17:42:45,SHA256ID-32/SHA256ID-32-16384-1309985-random-20260212_173825.log,
SHA256ID,32,32768,771823,25628.68,10.228540837842605,19.781,390187,780375,0.26,390187,780375,57.3,57.9,0.6000000000000014,random,2026-02-12,17:43:12,SHA256ID-32/SHA256ID-32-32768-771823-random-20260212_173825.log,
SHA256ID,32,65536,422221,47079.08,11.136326368314759,19.878,212408,424817,0.47,212408,424817,57.3,57.3,0.0,random,2026-02-12,17:43:40,SHA256ID-32/SHA256ID-32-65536-422221-random-20260212_173825.log,
SHA256ID,32,131072,222173,89728.11,11.686148298454075,19.935,111447,222895,0.90,111447,222895,57.3,57.9,0.6000000000000014,random,2026-02-12,17:44:08,SHA256ID-32/SHA256ID-32-131072-222173-random-20260212_173825.log,
SHA256ID,32,262144,113898,175224.99,11.968338534360882,19.958,57069,114138,1.75,57069,114138,57.3,57.9,0.6000000000000014,random,2026-02-12,17:44:36,SHA256ID-32/SHA256ID-32-262144-113898-random-20260212_173825.log,
SHA256ID,32,524288,57741,346262.47,12.113077111706621,19.994,28879,57759,3.46,28879,57759,57.3,57.9,0.6000000000000014,random,2026-02-12,17:45:04,SHA256ID-32/SHA256ID-32-524288-57741-random-20260212_173825.log,
SHA256ID,32,1048576,29064,688011.13,12.192546943244945,19.996,14534,29069,6.88,14534,29069,57.3,57.9,0.6000000000000014,random,2026-02-12,17:45:32,SHA256ID-32/SHA256ID-32-1048576-29064-random-20260212_173825.log,
SHA256ID,32,2097152,14569,1372445.75,12.224319977674892,19.995,7286,14572,13.72,10000,14572,57.3,58.4,1.1000000000000014,random,2026-02-12,17:46:00,SHA256ID-32/SHA256ID-32-2097152-14569-random-20260212_173825.log,
