ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
PMHID,8,32,386922035,21.53,11.890385508592662,8.330,464468183,928936367,0.00,464468183,928936367,56.8,56.8,0.0,random,2026-02-12,17:16:14,PMHID-8/PMHID-8-32-386922035-random-20260212_171607.log,
PMHID,8,64,267630135,42.8,11.962616822429908,11.455,233644859,467289719,0.00,233644859,467289719,56.8,57.3,0.5,random,2026-02-12,17:16:30,PMHID-8/PMHID-8-64-267630135-random-20260212_171607.log,
PMHID,8,128,215100021,61.11,16.756668303060053,13.145,163639338,327278677,0.00,163639338,327278677,55.1,56.8,1.6999999999999957,random,2026-02-12,17:16:50,PMHID-8/PMHID-8-128-215100021-random-20260212_171607.log,
PMHID,8,256,160307790,91.98,22.265709936942812,14.745,108719286,217438573,0.00,108719286,217438573,56.8,56.8,0.0,random,2026-02-12,17:17:11,PMHID-8/PMHID-8-256-160307790-random-20260212_171607.log,
PMHID,8,512,104536901,159.03,25.75614663899893,16.625,62881217,125762434,0.00,62881217,125762434,56.2,56.8,0.5999999999999943,random,2026-02-12,17:17:33,PMHID-8/PMHID-8-512-104536901-random-20260212_171607.log,
PMHID,8,1024,63869195,283.75,28.870484581497795,18.123,35242290,70484581,0.00,35242290,70484581,56.2,57.3,1.0999999999999943,random,2026-02-12,17:17:58,PMHID-8/PMHID-8-1024-63869195-random-20260212_171607.log,
PMHID,8,2048,35055124,543.25,30.15922687528762,19.044,18407731,36815462,0.01,18407731,36815462,56.8,56.8,0.0,random,2026-02-12,17:18:24,PMHID-8/PMHID-8-2048-35055124-random-20260212_171607.log,
PMHID,8,4096,18271514,1055.51,31.044708245303223,19.286,9474093,18948186,0.01,9474093,18948186,56.2,56.2,0.0,random,2026-02-12,17:18:51,PMHID-8/PMHID-8-4096-18271514-random-20260212_171607.log,
PMHID,8,8192,9259730,2071.37,31.63896358448756,19.180,4827722,9655445,0.02,4827722,9655445,56.8,56.8,0.0,random,2026-02-12,17:19:19,PMHID-8/PMHID-8-8192-9259730-random-20260212_171607.log,
PMHID,8,16384,4827559,4222.56,31.04088515024061,20.385,2368231,4736463,0.04,2368231,4736463,56.2,56.2,0.0,random,2026-02-12,17:19:46,PMHID-8/PMHID-8-16384-4827559-random-20260212_171607.log,
PMHID,8,32768,2418066,8194.59,31.98988601016036,19.815,1220317,2440634,0.08,1220317,2440634,56.2,56.8,0.5999999999999943,random,2026-02-12,17:20:14,PMHID-8/PMHID-8-32768-2418066-random-20260212_171607.log,
PMHID,8,65536,1209343,16580.65,31.6204732625078,20.052,603112,1206225,0.17,603112,1206225,56.8,57.3,0.5,random,2026-02-12,17:20:42,PMHID-8/PMHID-8-65536-1209343-random-20260212_171607.log,
PMHID,8,131072,605479,33333.89,31.456754672196976,20.183,299994,599989,0.33,299994,599989,56.8,57.9,1.1000000000000014,random,2026-02-12,17:21:10,PMHID-8/PMHID-8-131072-605479-random-20260212_171607.log,
PMHID,8,262144,301458,65975.95,31.78661315221683,19.889,151570,303140,0.66,151570,303140,56.8,57.9,1.1000000000000014,random,2026-02-12,17:21:38,PMHID-8/PMHID-8-262144-301458-random-20260212_171607.log,
PMHID,8,524288,151433,132129.46,31.74389723533268,20.009,75683,151366,1.32,75683,151366,57.3,57.9,0.6000000000000014,random,2026-02-12,17:22:06,PMHID-8/PMHID-8-524288-151433-random-20260212_171607.log,
PMHID,8,1048576,75482,271249.34,30.92581902687763,20.474,36866,73732,2.71,36866,73732,56.8,58.4,1.6000000000000014,random,2026-02-12,17:22:34,PMHID-8/PMHID-8-1048576-75482-random-20260212_171607.log,
PMHID,8,2097152,37878,533156.95,31.46768695409485,20.195,18756,37512,5.33,18756,37512,56.8,58.4,1.6000000000000014,random,2026-02-12,17:23:03,PMHID-8/PMHID-8-2097152-37878-random-20260212_171607.log,
