id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,23.008772072658992,23.00948887278587,idle,ALG,0B,0k,none
2,23.02372247530528,23.02474647548653,idle,ALG,0B,0k,none
3,23.07953048518356,23.17547930216694,idle,ALG,0B,0k,none
4,24.58859955229576,24.599965954307663,idle,ALG,0B,0k,none
5,24.61000115608394,42.94062840068968,warmup,ALG,0B,0k,18.331s
6,43.15228923815462,43.1546444385715,idle,ALG,0B,0k,none
7,44.630740699847365,44.63176470002862,idle,ALG,0B,0k,none
8,46.63143225397901,46.640750655628416,idle,ALG,0B,0k,none
9,48.64031580956069,56.969738083906925,benchmark,PMHID,32,386922035,8.329s
10,58.9693032378392,58.97268243843733,idle,ALG,0B,0k,none
11,60.972452392405856,60.97337399256899,idle,ALG,0B,0k,none
12,62.97304154651938,62.98246234818691,idle,ALG,0B,0k,none
13,64.98202750211918,76.4369031296851,benchmark,PMHID,64,267630135,11.455s
14,78.43636588359925,78.43984748421552,idle,ALG,0B,0k,none
15,80.43961743818404,80.44043663832905,idle,ALG,0B,0k,none
16,82.44020659229756,82.45003699403759,idle,ALG,0B,0k,none
17,84.44939734793361,97.5934636744941,benchmark,PMHID,128,215100021,13.144s
18,101.59628038301116,101.59709958315617,idle,ALG,0B,0k,none
19,103.59686953712468,103.60690473890097,idle,ALG,0B,0k,none
20,105.6059578927426,120.35135570274616,benchmark,PMHID,256,160307790,14.745s
21,122.3508184566603,122.3548120573672,idle,ALG,0B,0k,none
22,124.3544796113176,124.35540121148073,idle,ALG,0B,0k,none
23,126.35506876543111,126.36448956709864,idle,ALG,0B,0k,none
24,128.36415712104903,144.9893120637783,benchmark,PMHID,512,104536901,16.625s
25,146.98877481769244,146.99235881832684,idle,ALG,0B,0k,none
26,148.99202637227722,148.99294797244036,idle,ALG,0B,0k,none
27,150.99261552639075,151.00224112809454,idle,ALG,0B,0k,none
28,153.00180628202682,171.12486868989262,benchmark,PMHID,1024,63869195,18.123s
29,173.12433144380677,173.1280178444593,idle,ALG,0B,0k,none
30,175.1277877984278,175.1286069985728,idle,ALG,0B,0k,none
31,177.12827455252318,177.13790015422697,idle,ALG,0B,0k,none
32,179.13746530815925,198.1815134790438,benchmark,PMHID,2048,35055124,19.044s
33,200.1808738329398,200.18445783357416,idle,ALG,0B,0k,none
34,202.18412538752457,202.1849445876696,idle,ALG,0B,0k,none
35,204.1847145416381,204.1943401433419,idle,ALG,0B,0k,none
36,206.19390529727417,225.4798223109706,benchmark,PMHID,4096,18271514,19.286s
37,227.47928506488475,227.48297146553725,idle,ALG,0B,0k,none
38,229.4826390194877,229.4835606196508,idle,ALG,0B,0k,none
39,231.4832281736012,231.4930585753412,idle,ALG,0B,0k,none
40,233.49241892923723,252.67296632428275,benchmark,PMHID,8192,9259730,19.181s
41,256.6757830327998,256.6767046329629,idle,ALG,0B,0k,none
42,258.67637218691334,258.6857929885809,idle,ALG,0B,0k,none
43,260.6853581425132,281.07033455074816,benchmark,PMHID,16384,4827559,20.385s
44,283.0696949046442,283.07348370531486,idle,ALG,0B,0k,none
45,287.07374041337874,287.08428761524567,idle,ALG,0B,0k,none
46,289.08334076908733,308.8985634764733,benchmark,PMHID,32768,2418066,19.815s
47,310.8980262303875,310.9018150310581,idle,ALG,0B,0k,none
48,312.90148258500847,312.9023017851535,idle,ALG,0B,0k,none
49,314.902071739122,314.91231174093457,idle,ALG,0B,0k,none
50,316.91197929488493,336.96384844415843,benchmark,PMHID,65536,1209343,20.052s
51,340.9667675526936,340.96768915285674,idle,ALG,0B,0k,none
52,342.96735670680715,342.97821110872843,idle,ALG,0B,0k,none
53,344.97787866267885,365.1611270352071,benchmark,PMHID,131072,605479,20.183s
54,367.1605897891212,367.1643785897919,idle,ALG,0B,0k,none
55,369.1641485437604,369.1649677439054,idle,ALG,0B,0k,none
56,371.16473769787393,371.1771281000671,idle,ALG,0B,0k,none
57,373.17679565401744,393.066053574508,benchmark,PMHID,262144,301458,19.889s
58,393.3884088315664,393.3894328317477,idle,ALG,0B,0k,none
59,393.3925048322914,393.3947576326902,idle,ALG,0B,0k,none
60,395.0655163284222,395.0692027290747,idle,ALG,0B,0k,none
61,397.0689726830432,397.0697918831882,idle,ALG,0B,0k,none
62,399.0694594371386,399.0850242398936,idle,ALG,0B,0k,none
63,401.0845893938259,421.0936553355231,benchmark,PMHID,524288,151433,20.009s
64,423.0931180894372,423.097009290126,idle,ALG,0B,0k,none
65,425.0967792440945,425.0975984442395,idle,ALG,0B,0k,none
66,427.0972659981899,427.1186676019781,idle,ALG,0B,0k,none
67,429.1182327559104,449.5930139800413,benchmark,PMHID,1048576,75482,20.475s
68,451.5924767339554,451.59616313460793,idle,ALG,0B,0k,none
69,453.3880610517821,453.3890850519634,idle,ALG,0B,0k,none
70,453.3921570525072,453.3943074528878,idle,ALG,0B,0k,none
71,453.5959330885764,453.5968546887396,idle,ALG,0B,0k,none
72,455.59652224269,455.63010944863504,idle,ALG,0B,0k,none
73,457.6296746025673,477.8249037772162,benchmark,PMHID,2097152,37878,20.195s
74,479.8243665311304,479.828155331801,idle,ALG,0B,0k,none
75,481.8279252857696,481.8315092864039,idle,ALG,0B,0k,none
76,513.386996471871,513.387815672016,idle,ALG,0B,0k,none
77,513.3909900725779,513.3931404729585,idle,ALG,0B,0k,none
78,573.3858294919418,573.3866486920867,idle,ALG,0B,0k,none
79,573.3898230926486,573.3919734930292,idle,ALG,0B,0k,none
