ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
RSID,8,32,53330489,328.91,0.778328418108297,17.541,30403453,60806907,0.00,30403453,60806907,52.4,52.4,0.0,random,2026-02-12,13:02:24,RSID-8/RSID-8-32-53330489-random-20260212_130217.log,
RSID,8,64,29330243,645.44,0.7932573128408527,18.931,15493306,30986613,0.01,15493306,30986613,52.9,52.4,-0.5,random,2026-02-12,13:02:49,RSID-8/RSID-8-64-29330243-random-20260212_130217.log,
RSID,8,128,15229276,1283.77,0.7976506695124516,19.551,7789557,15579114,0.01,7789557,15579114,52.4,51.8,-0.6000000000000014,random,2026-02-12,13:03:16,RSID-8/RSID-8-128-15229276-random-20260212_130217.log,
RSID,8,256,7795265,2525.41,0.8109574286947467,19.686,3959753,7919506,0.03,3959753,7919506,52.4,52.9,0.5,random,2026-02-12,13:03:44,RSID-8/RSID-8-256-7795265-random-20260212_130217.log,
RSID,8,512,3947396,5037.83,0.8130484752363618,19.886,1984981,3969963,0.05,1984981,3969963,52.4,52.9,0.5,random,2026-02-12,13:04:12,RSID-8/RSID-8-512-3947396-random-20260212_130217.log,
RSID,8,1024,1978315,10072.96,0.8132664082851515,19.927,992756,1985513,0.10,992756,1985513,52.4,52.9,0.5,random,2026-02-12,13:04:39,RSID-8/RSID-8-1024-1978315-random-20260212_130217.log,
RSID,8,2048,994002,20107.07,0.814837766019614,19.986,497337,994675,0.20,497337,994675,52.9,52.4,-0.5,random,2026-02-12,13:05:07,RSID-8/RSID-8-2048-994002-random-20260212_130217.log,
RSID,8,4096,497531,40226.23,0.8145928663958814,20.014,248594,497188,0.40,248594,497188,52.9,53.5,0.6000000000000014,random,2026-02-12,13:05:35,RSID-8/RSID-8-4096-497531-random-20260212_130217.log,
RSID,8,8192,248631,80408.79,0.815035271641322,19.992,124364,248729,0.80,124364,248729,52.4,52.9,0.5,random,2026-02-12,13:06:03,RSID-8/RSID-8-8192-248631-random-20260212_130217.log,
RSID,8,16384,124287,160830.1,0.8149718243040326,19.989,62177,124354,1.61,62177,124354,52.4,52.9,0.5,random,2026-02-12,13:06:31,RSID-8/RSID-8-16384-124287-random-20260212_130217.log,
RSID,8,32768,62160,321584.33,0.8151640970814716,19.990,31096,62192,3.22,31096,62192,52.9,52.9,0.0,random,2026-02-12,13:06:59,RSID-8/RSID-8-32768-62160-random-20260212_130217.log,
RSID,8,65536,31073,643674.38,0.8145236415965477,20.001,15535,31071,6.44,15535,31071,53.5,52.4,-1.1000000000000014,random,2026-02-12,13:07:27,RSID-8/RSID-8-65536-31073-random-20260212_130217.log,
RSID,8,131072,15535,1287364.05,0.814513967513696,19.999,7767,15535,12.87,10000,15535,52.9,52.9,0.0,random,2026-02-12,13:07:55,RSID-8/RSID-8-131072-15535-random-20260212_130217.log,
RSID,8,262144,10000,2575516.19,0.8142647319176821,25.755,3882,7765,25.76,10000,10000,52.9,52.9,0.0,random,2026-02-12,13:08:23,RSID-8/RSID-8-262144-10000-random-20260212_130217.log,
RSID,8,524288,10000,5153372.43,0.8138949895379481,51.534,1940,3880,51.53,10000,10000,52.9,54.0,1.1000000000000014,random,2026-02-12,13:08:57,RSID-8/RSID-8-524288-10000-random-20260212_130217.log,
RSID,8,1048576,10000,10306536.08,0.8139114766481271,103.065,970,1940,103.07,10000,10000,53.5,53.5,0.0,random,2026-02-12,13:09:57,RSID-8/RSID-8-1048576-10000-random-20260212_130217.log,
RSID,8,2097152,10000,20615578.59,0.8138125217663367,206.156,485,970,206.16,10000,10000,53.5,54.0,0.5,random,2026-02-12,13:11:48,RSID-8/RSID-8-2097152-10000-random-20260212_130217.log,
