ALGONAME,ALGOSIZE,VECLENBYTES,ITERATIONSTOTAL,AVGTIMEPERITERATIONNSEC,THROUGHPUT_Gbitpersec,RUNTIME_SEC,ITERATIONS_10SEC,ITERATIONS_20SEC,TIMEsec_10kITER,MINITERNEEDED_10sOR10k,MINITERNEEDED_20sOR10k,STARTTEMP,ENDTEMP,TEMPCHANGE,INPUTDATATYPE,DATE,TIME,FILENAME,NOTE
PMHID,64,32,520697734,9.18,27.886710239651418,4.780,1089324618,2178649237,0.00,1089324618,2178649237,56.2,55.6,-0.6000000000000014,random,2026-02-12,18:18:47,PMHID-64/PMHID-64-32-520697734-random-20260212_181840.log,
PMHID,64,64,444247001,15.74,32.52858958068615,6.992,635324015,1270648030,0.00,635324015,1270648030,55.6,55.6,0.0,random,2026-02-12,18:19:00,PMHID-64/PMHID-64-64-444247001-random-20260212_181840.log,
PMHID,64,128,413564929,15.74,65.0571791613723,6.510,635324015,1270648030,0.00,635324015,1270648030,55.6,56.2,0.6000000000000014,random,2026-02-12,18:19:15,PMHID-64/PMHID-64-128-413564929-random-20260212_181840.log,
PMHID,64,256,386922035,21.9,93.51598173515983,8.474,456621004,913242009,0.00,456621004,913242009,55.6,55.6,0.0,random,2026-02-12,18:19:29,PMHID-64/PMHID-64-256-386922035-random-20260212_181840.log,
PMHID,64,512,271665308,43.08,95.07892293407615,11.703,232126276,464252553,0.00,232126276,464252553,54.0,56.2,2.200000000000003,random,2026-02-12,18:19:46,PMHID-64/PMHID-64-512-271665308-random-20260212_181840.log,
PMHID,64,1024,209819555,61.0,134.29508196721312,12.799,163934426,327868852,0.00,163934426,327868852,55.1,56.2,1.1000000000000014,random,2026-02-12,18:20:05,PMHID-64/PMHID-64-1024-209819555-random-20260212_181840.log,
PMHID,64,2048,158692374,91.71,178.65009268345872,14.554,109039363,218078726,0.00,109039363,218078726,55.1,55.6,0.5,random,2026-02-12,18:20:26,PMHID-64/PMHID-64-2048-158692374-random-20260212_181840.log,
PMHID,64,4096,105362975,161.27,203.1872015874,16.992,62007812,124015625,0.00,62007812,124015625,55.6,56.2,0.6000000000000014,random,2026-02-12,18:20:49,PMHID-64/PMHID-64-4096-105362975-random-20260212_181840.log,
PMHID,64,8192,63526347,281.08,233.1578198377686,17.856,35577059,71154119,0.00,35577059,71154119,56.2,55.6,-0.6000000000000014,random,2026-02-12,18:21:14,PMHID-64/PMHID-64-8192-63526347-random-20260212_181840.log,
PMHID,64,16384,34235437,551.39,237.71196430838424,18.877,18135983,36271967,0.01,18135983,36271967,56.2,55.6,-0.6000000000000014,random,2026-02-12,18:21:40,PMHID-64/PMHID-64-16384-34235437-random-20260212_181840.log,
PMHID,64,32768,18356539,1055.68,248.31767202182476,19.379,9472567,18945134,0.01,9472567,18945134,55.6,55.6,0.0,random,2026-02-12,18:22:06,PMHID-64/PMHID-64-32768-18356539-random-20260212_181840.log,
PMHID,64,65536,9506064,2070.88,253.1715985474774,19.686,4828865,9657730,0.02,4828865,9657730,56.2,56.2,0.0,random,2026-02-12,18:22:34,PMHID-64/PMHID-64-65536-9506064-random-20260212_181840.log,
PMHID,64,131072,4699700,4111.17,255.0553735311359,19.321,2432397,4864795,0.04,2432397,4864795,55.6,56.2,0.6000000000000014,random,2026-02-12,18:23:01,PMHID-64/PMHID-64-131072-4699700-random-20260212_181840.log,
PMHID,64,262144,2417315,8419.46,249.0839079940994,20.352,1187724,2375449,0.08,1187724,2375449,55.6,56.2,0.6000000000000014,random,2026-02-12,18:23:29,PMHID-64/PMHID-64-262144-2417315-random-20260212_181840.log,
PMHID,64,524288,1183219,16578.26,253.00025455023626,19.616,603199,1206399,0.17,603199,1206399,56.2,55.6,-0.6000000000000014,random,2026-02-12,18:23:57,PMHID-64/PMHID-64-524288-1183219-random-20260212_181840.log,
PMHID,64,1048576,602982,33535.15,250.1437446977276,20.221,298194,596389,0.34,298194,596389,56.8,56.8,0.0,random,2026-02-12,18:24:25,PMHID-64/PMHID-64-1048576-602982-random-20260212_181840.log,
PMHID,64,2097152,302933,67844.54,247.28911125346275,20.552,147395,294791,0.68,147395,294791,56.2,56.8,0.5999999999999943,random,2026-02-12,18:24:53,PMHID-64/PMHID-64-2097152-302933-random-20260212_181840.log,
