id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,22.18311891937501,22.183835719443497,idle,ALG,0B,0k,none
2,22.196123720617493,22.19704532070554,idle,ALG,0B,0k,none
3,22.248142925587405,22.3523861355468,idle,ALG,0B,0k,none
4,22.361602136427297,22.3646741367208,idle,ALG,0B,0k,none
5,22.99351259680002,38.033616433731424,warmup,ALG,0B,0k,15.040s
6,39.23446134846014,39.237635748763424,idle,ALG,0B,0k,none
7,41.13664393019465,41.13766793029248,idle,ALG,0B,0k,none
8,45.04740270382851,45.05733550477749,idle,ALG,0B,0k,none
9,45.09972910882777,45.100957908945176,idle,ALG,0B,0k,none
10,47.05690049581592,64.8122429921612,benchmark,RS2ID,32,64217826,17.755s
11,68.81485457457069,68.81577617465874,idle,ALG,0B,0k,none
12,70.81544356570694,70.82496676661678,idle,ALG,0B,0k,none
13,72.82473655767478,91.4153559338224,benchmark,RS2ID,64,42122999,18.591s
14,93.41492092486084,93.41850492520324,idle,ALG,0B,0k,none
15,95.41827471626124,95.41919631634929,idle,ALG,0B,0k,none
16,97.41876130738773,97.42838690830736,idle,ALG,0B,0k,none
17,99.42815669936532,118.63000173390948,benchmark,RS2ID,128,24869744,19.202s
18,122.63271571632872,122.633534916407,idle,ALG,0B,0k,none
19,124.633304707465,124.64272550836505,idle,ALG,0B,0k,none
20,126.64249529942305,146.20560756848263,benchmark,RS2ID,256,13622029,19.563s
21,148.20517255952106,148.20875655986347,idle,ALG,0B,0k,none
22,150.20852635092146,150.20934555099973,idle,ALG,0B,0k,none
23,152.2090129420479,152.21884334298713,idle,ALG,0B,0k,none
24,154.21871553405492,173.8904742134946,benchmark,RS2ID,512,6900882,19.672s
25,177.8934953959432,177.89441699603125,idle,ALG,0B,0k,none
26,179.89408438707946,179.9037099879991,idle,ALG,0B,0k,none
27,181.9035821790669,201.70579847097045,benchmark,RS2ID,1024,3265300,19.802s
28,203.7052610619991,203.7089474623513,idle,ALG,0B,0k,none
29,205.70871725340928,205.70953645348757,idle,ALG,0B,0k,none
30,207.70920384453572,207.71882944545536,idle,ALG,0B,0k,none
31,209.71870163652315,229.62577553844488,benchmark,RS2ID,2048,1605686,19.907s
32,233.5511775134777,233.5520991135658,idle,ALG,0B,0k,none
33,233.55527351386905,233.5574239140745,idle,ALG,0B,0k,none
34,233.62889912090324,233.6297183209815,idle,ALG,0B,0k,none
35,235.6294881120395,235.6393185129787,idle,ALG,0B,0k,none
36,237.6390883040367,257.4786805995112,benchmark,RS2ID,4096,804482,19.840s
37,259.4781431905398,259.4819319909018,idle,ALG,0B,0k,none
38,261.4817017819598,261.48252098203807,idle,ALG,0B,0k,none
39,265.49189096509326,285.50566567720915,benchmark,RS2ID,8192,407030,20.014s
40,287.5052306682476,287.50901946860955,idle,ALG,0B,0k,none
41,289.50868685965776,289.5096084597458,idle,ALG,0B,0k,none
42,293.5188760427912,313.5644971579497,benchmark,RS2ID,16384,203348,20.046s
43,317.5676207404081,317.5684399404863,idle,ALG,0B,0k,none
44,321.5779123235513,341.61411263780974,benchmark,RS2ID,32768,101327,20.036s
45,343.61367762884817,343.6175688292199,idle,ALG,0B,0k,none
46,345.6172362202681,345.6181578203562,idle,ALG,0B,0k,none
47,349.6281422034701,370.3087457792948,benchmark,RS2ID,65536,50239,20.681s
48,372.3081059703136,372.3117923706658,idle,ALG,0B,0k,none
49,374.3115621617238,374.31238136180207,idle,ALG,0B,0k,none
50,376.31215115286005,376.32310795390686,idle,ALG,0B,0k,none
51,378.3227753449551,398.4785788706404,benchmark,RS2ID,131072,25134,20.156s
52,400.478041461669,400.4819326620408,idle,ALG,0B,0k,none
53,402.4817024530988,402.48252165317706,idle,ALG,0B,0k,none
54,406.4944516364768,426.3159191302197,benchmark,RS2ID,262144,12328,19.821s
55,428.31538172124834,428.3191705216103,idle,ALG,0B,0k,none
56,430.3189403126683,430.31975951274654,idle,ALG,0B,0k,none
57,432.3195293038045,432.3346845052525,idle,ALG,0B,0k,none
58,434.33445429631047,466.39139175903006,benchmark,RS2ID,524288,10000,32.057s
59,468.39085435005865,468.3945407504109,idle,ALG,0B,0k,none
60,470.3943105414689,470.3952321415569,idle,ALG,0B,0k,none
61,472.3948995326051,472.4148675345128,idle,ALG,0B,0k,none
62,473.5478212427552,473.5487428428433,idle,ALG,0B,0k,none
63,473.5518148431368,473.5541700433618,idle,ALG,0B,0k,none
64,474.4146373255708,539.5815939516214,benchmark,RS2ID,1048576,10000,65.167s
65,541.58105654265,541.5851525430413,idle,ALG,0B,0k,none
66,543.58461513407,543.585536734158,idle,ALG,0B,0k,none
67,547.6160011192286,675.6118149479477,benchmark,RS2ID,2097152,10000,127.996s
68,713.5441577720035,713.5450793720914,idle,ALG,0B,0k,none
69,713.5482537723948,713.5503017725904,idle,ALG,0B,0k,none
70,773.5432931043204,773.5441123043986,idle,ALG,0B,0k,none
71,773.547286704702,773.5493347048975,idle,ALG,0B,0k,none
72,833.5423260366275,833.5431452367058,idle,ALG,0B,0k,none
73,833.5463196370091,833.5483676372047,idle,ALG,0B,0k,none
74,893.5415637689542,893.5423829690325,idle,ALG,0B,0k,none
75,893.5455573693358,893.5476053695314,idle,ALG,0B,0k,none
76,953.5414159013396,953.542235101418,idle,ALG,0B,0k,none
77,953.5454095017212,953.5474575019168,idle,ALG,0B,0k,none
78,960.5789589737064,960.5852053743032,idle,ALG,0B,0k,none
79,999.8362555243484,999.8370747244264,idle,ALG,0B,0k,none
80,1013.5402440336272,1013.5411656337152,idle,ALG,0B,0k,none
81,1013.5443400340184,1013.5463880342144,idle,ALG,0B,0k,none
