id,t_start,t_end,mode,algo,msgsize,itertot,comment
1,14.853429237170705,14.854146037269016,idle,ALG,0B,0k,none
2,14.874421240049791,14.8751380401481,idle,ALG,0B,0k,none
3,15.627675743359806,15.638018144778282,idle,ALG,0B,0k,none
4,15.648667746238893,30.659793005037848,warmup,ALG,0B,0k,15.011s
5,30.670442606498455,30.67310500686361,idle,ALG,0B,0k,none
6,35.67278569257752,35.67360489268987,idle,ALG,0B,0k,none
7,37.6733747669614,37.68371716837987,idle,ALG,0B,0k,none
8,39.6832822426233,56.21791491037365,benchmark,RSID,32,89281728,16.535s
9,58.21747998461708,58.22116638512267,idle,ALG,0B,0k,none
10,60.22083385938015,60.22175545950655,idle,ALG,0B,0k,none
11,62.221422933764025,62.2317653351825,idle,ALG,0B,0k,none
12,64.23122800941188,82.37323369761592,benchmark,RSID,64,51906257,18.142s
13,84.3729011718734,84.37648517236494,idle,ALG,0B,0k,none
14,86.37625504663646,86.37707424674882,idle,ALG,0B,0k,none
15,88.37684412102034,88.38718652243881,idle,ALG,0B,0k,none
16,90.3866491966682,109.4738070145013,benchmark,RSID,128,28151568,19.087s
17,113.47662356349376,113.47744276360612,idle,ALG,0B,0k,none
18,115.47721263787764,115.48755503929613,idle,ALG,0B,0k,none
19,117.48691531351145,136.8837307738146,benchmark,RSID,256,14475341,19.397s
20,138.88339824807204,138.88708464857766,idle,ALG,0B,0k,none
21,140.88685452284918,140.88767372296152,idle,ALG,0B,0k,none
22,142.887341197219,142.89717159856724,idle,ALG,0B,0k,none
23,144.89694147283876,164.6292193791511,benchmark,RSID,512,7089508,19.732s
24,166.6286820533805,166.63257325391416,idle,ALG,0B,0k,none
25,168.63203592814355,168.6328551282559,idle,ALG,0B,0k,none
26,170.63262500252742,170.64266020390377,idle,ALG,0B,0k,none
27,172.64232767816125,192.72020563187317,benchmark,RSID,1024,3336035,20.078s
28,194.71977070611655,194.7233547066081,idle,ALG,0B,0k,none
29,196.72312458087964,196.723943780992,idle,ALG,0B,0k,none
30,198.7237136552635,198.73395365666795,idle,ALG,0B,0k,none
31,200.7333139308833,220.84805588965116,benchmark,RSID,2048,1625732,20.115s
32,224.8508724386436,224.85169163875597,idle,ALG,0B,0k,none
33,226.85135911301344,226.8617015144319,idle,ALG,0B,0k,none
34,228.8611641886613,248.90996053838455,benchmark,RSID,4096,815949,20.049s
35,250.909525612628,250.9131096131196,idle,ALG,0B,0k,none
36,252.91277708737704,252.9135962874894,idle,ALG,0B,0k,none
37,254.91336616176093,254.92360616316532,idle,ALG,0B,0k,none
38,256.9229664373807,276.9657211862754,benchmark,RSID,8192,407758,20.043s
39,278.96528626051884,278.9687678609963,idle,ALG,0B,0k,none
40,280.96853773526783,280.96935693538023,idle,ALG,0B,0k,none
41,282.96902440963765,282.9792644110421,idle,ALG,0B,0k,none
42,284.9788294852856,305.023325034419,benchmark,RSID,16384,203853,20.044s
43,307.0228901086624,307.02667890918207,idle,ALG,0B,0k,none
44,309.02634638343955,309.0271655835519,idle,ALG,0B,0k,none
45,311.0269354578234,311.0370730592138,idle,ALG,0B,0k,none
46,313.03663813345725,333.06464728032955,benchmark,RSID,32768,100900,20.028s
47,335.064212354573,335.06769395505046,idle,ALG,0B,0k,none
48,337.06736142930794,337.0681806294203,idle,ALG,0B,0k,none
49,339.0679505036918,339.0784977051384,idle,ALG,0B,0k,none
50,341.07816517939585,361.1806191364784,benchmark,RSID,65536,50188,20.102s
51,365.18374288551297,365.1844596856113,idle,ALG,0B,0k,none
52,367.1842295598828,367.19549356142767,idle,ALG,0B,0k,none
53,369.1952634356992,389.2502037862652,benchmark,RSID,131072,25092,20.055s
54,391.2497688605086,391.25355766102825,idle,ALG,0B,0k,none
55,393.2532251352857,393.2540443353981,idle,ALG,0B,0k,none
56,397.2660768856545,417.2585532276535,benchmark,RSID,262144,12526,19.992s
57,419.25801590188286,419.2618047024025,idle,ALG,0B,0k,none
58,421.2615745766741,421.2623937767864,idle,ALG,0B,0k,none
59,423.2621636510579,423.27690925308025,idle,ALG,0B,0k,none
60,425.2765767273377,457.3044339200077,benchmark,RSID,524288,10000,32.028s
61,459.3038965942371,459.3085045948691,idle,ALG,0B,0k,none
62,461.30745526902825,461.3083768691546,idle,ALG,0B,0k,none
63,463.3080443434121,463.328524346221,idle,ALG,0B,0k,none
64,465.3278846204364,529.022434156242,benchmark,RSID,1048576,10000,63.695s
65,531.0219992304853,531.025788031005,idle,ALG,0B,0k,none
66,533.0254555052625,533.0262747053748,idle,ALG,0B,0k,none
67,535.0260445796464,535.0570717839017,idle,ALG,0B,0k,none
68,537.0568416581733,665.2704656428693,benchmark,RSID,2097152,10000,128.214s
69,669.273589391904,669.2775829924517,idle,ALG,0B,0k,none
